station_id,country,name,lat,lng,units,lw,mw,hw,rivers
K054301001,FR,"Ance @ Beauzac [Bérard]",45.276199,4.0811,m³/s,7,13,30,"Ance / Le Plot - Chizeneuve"
K055001010,FR,"Loire @ Bas-en-Basset",45.2952,4.118,m³/s,13,65,120,"Loire / Pont de Lignon - Bas en Basset"
K056752001,FR,"Semène @ St-Didier-en-Velay [Le Crouzet]",45.314499,4.2496,m³/s,7,10,15,"Semène / Pont Salomon - La Loire | Semène / La Séauve-sur-Semène – Pont Salomon"
K067331001,FR,"Coise @ St-Médard-en-Forez [Moulin Brûlé]",45.6077,4.3754,m³/s,5,8,14,"Coise / Saint Galmier - Saint Denis sur Coise"
K073322001,FR,"Lignon @ Chalmazel [Chevelières]",45.6968,3.867,cm,80,90,100,"Lignon du Forez / Scierie de Pont de Chevelière - Pont Neuf (D110) | Lignon du Forez / Pont Neuf (D110) - Pont du Diable"
K081302001,FR,"Aix @ St-Germain-Laval",45.834301,3.9872,m³/s,6,10,15,"Aix / Grézolles - Saint Germain Laval (Baffy)"
K208082001,FR,"Allier @ Naussac [La Valette]",44.756901,3.8324,m³/s,7,20,40,"Allier / Jonchères - Chapeauroux | Allier / Saint Etienne du Vigan - Jonchères | Allier / Naussac (La Valette) - Saint Etienne du Vigan"
K217302001,FR,"Chapeauroux @ St-Bonnet-de-Montauroux",44.817501,3.7121,m³/s,6,12,18,"Chapeauroux / Pont de Laval-Atger - Camping de Chapeauroux | Chapeauroux / Pont de Pierrefiche - Pont de la retenue d'Auroux"
K224082001,FR,"Allier @ Prades [Pont amont Seuges]",45.029499,3.5947,m³/s,7,20,40,"Allier / Monistrol - Prades"
K251401001,FR,"Allanche @ Pont du Vernet",45.134399,3.0069,m³/s,9,11,15,"Aspre / Pont de la Bastide - Pont D35 | Bertrande / Saint Charmant (D922) - Retenue d'Enchanet (D42) | Maronne / Saint Martin Valmeroux - Retenue d'Enchanet (D42) | Allanche / Allanche - Le Pont du Vernet"
K252301001,FR,"Alagnon @ Joursac",45.159199,3.0273,m³/s,10,15,20,"Authre / Pont de Bessanès - Pont de la Marie | Cère / Thiézac - Vic sur Cère | Cère / Sansac de Marmiesse - Pont du Maudour | Alagnon / Neussargues en Pinatelle - Ferrières-Saint-Mary | Alagnon / Ferrières-Saint-Mary - Molompize"
K265401001,FR,"Couze Pavin @ St-Floret",45.5508,3.1112,cm,45,60,75,"Couze Pavin / Cotteuge - Saurier | Couze de Valbeleix / Valbeleix - Pont de la micro-centrale (D26) | Couze de Valbeleix / Après le barrage de la micro-centrale - Courgoul"
K287191001,FR,"Dore @ Giroux-Dore",45.689301,3.6105,m³/s,20,35,50,"Dore / Giroux Vieux - Pont de Sauviat"
K518302001,FR,"Tardes @ Chambon-sur-Voueize [Camping]",46.186901,2.4342,m³/s,5,None,None,"Voueize / Pont Bredeix (D55) - Chambon sur Voueize (Pont D915)"
L005063001,FR,"Vienne @ Eymoutiers",45.740299,1.743,cm,90,110,130,"Vienne / Station d'épuration d'Eymoutiers - Usine Electrique de Bussy | Vienne / Usine Electrique de Bussy - Gare de Châteauneuf Bujaleuf"
L403301001,FR,"Rozeille @ Moutier-Rozeille",45.9319,2.1772,m³/s,3,6,15,"Rozeille / Moulin de Bussière - Pont D982"
L532301001,FR,"Brame @ Oradour-St-Genest",46.251701,0.999,cm,90,None,None,"Brame / Moulin de Brame - Base de Lathus | Sedelle / Pont de Charreau - Crozant (Pont)"
O014402001,FR,"Neste @ Arreau-Aure",42.905602,0.3574,cm,130,150,180,"Neste d'Aure / Saint-Lary - Arreau | Neste d'Aure / Arreau - Sarrancolin"
O016434001,FR,"Neste du Louron @ Arreau-Louron",42.904598,0.36,cm,80,100,150,"Neste du Louron / Adervielle - Centrale d'Avajan | Neste du Louron / Centrale d'Avajan - Centrale d'Arreau"
O036252001,FR,"Salat @ Soueix-Rogalle",42.888199,1.2123,cm,95,130,None,"Garbet / Aulus les Bains - Alent | Garbet / Gorges (Alent - Ercé) | Garbet / Ercé - Oust | Salat / Espis - Salau | Salat / Salau - Couflens | Salat / Couflens - Moulin Lauga | Salat / Moulin Lauga - Kerkabanac | Alet / Escots - Moulin Lauga | Ruisseau des Cors (Haut Alet) / Haute-Garonne - new 10"
O048401001,FR,"Lez @ Engomer [Balaguères]",42.949501,1.0551,m³/s,10,None,None,"Lez / Audressein - Engomer"
O102251002,FR,"Ariège @ Ax-les-Thermes",42.722698,1.8346,cm,100,None,None,"Ariège / Mérens les Vals (Pont de l'Arène) - Ax les Thermes | Oriège / Forges d'Orlu - Orgeix (Lac de Campauleil)"
O114462001,FR,"Vicdessos @ Vicdessos",42.768101,1.5003,cm,-35,-25,None,"Vicdessos / Camping de Vicdessos - Tarascon | Vicdessos / Marc - Auzat"
O171253001,FR,"Ariège @ Auterive [HE]",43.350101,1.4749,cm,None,None,None,"Ariège / Venerque - Portet sur Garonne"
O303101001,FR,"Tarn @ Cocurès",44.345901,3.6205,cm,190,215,250,"Tarn / Pont de Montvert - Barrage de la Vernède | Tarn / Restitution de la Vernede - Cocurès | Tarn / Cocurès - Le Pont du Tarn | Gourdouze / Vialas: Pont de la Brune - Pont vers Trémiéjol"
O306404001,FR,"Tarnon @ Vébron",44.228401,3.5783,cm,75,110,145,"Tarnon / Maison forestiére du Marquairès - Rousses | Tarnon / Rousses - Pont de Racoules"
O308435001,FR,"Mimente @ Cassagnas",44.2696,3.7308,cm,150,170,None,"Mimente / Pont des Crozes - St Julien d'Arpaon | Mimente / St Julien d'Arpaon -  La Salle Prunet"
O319401002,FR,"Jonte @ Meyrueis [aval] [HE]",44.180099,3.4288,cm,25,35,None,"Jonte / Les Douzes - Le Rozier"
O331401002,FR,"Dourbie @ Dourbies [Le Mazet]",44.07,3.4663,cm,63,80,100,"Dourbie / Pont de Prunaret - Dourbies | Dourbie / Dourbies - Le Mourier"
O340101002,FR,"Tarn @ Millau [HE]",44.0923,3.0756,m³/s,10,50,150,"Tarn / Les Vignes - Le Rozier"
O353401001,FR,"Dourdou @ Camarès",43.820801,2.8804,cm,85,110,125,"Dourdou / Arnac sur Dourdou - Brusque, VVF de Céras"
O375401001,FR,"Rance @ St-Sernin-sur-Rance",43.8867,2.6022,cm,37,60,90,"Rance / Notre Dame d'Orient - Balaguier | Rance / Plaisance - Saint Pierre | Mouss / Pont de la D33 – Saint Pierre"
O400101001,FR,"Tarn @ Albi",43.931702,2.1441,cm,-50,-30,-10,"Tarn / Bassin de slalom du Saut De Sabo | Tarn / Trébas - Courris | Tarn / Marsal - Les Avalats"
O477402001,FR,"Dadou @ Graulhet",43.762798,1.9903,cm,70,90,None,"Dadounet / Pont de la pisciculture - Confluence Dadou | Dadou / Confluence Dadounet - La Roque"
O519254001,FR,"Aveyron @ Villefranche-de-Rouergue [HE]",44.350201,2.0412,cm,10,35,50,"Aveyron / Najac pont St Blaise - Laguépie"
O522401001,FR,"Alzou @ Villefranche-de-Rouergue [Barrage Cabal]",44.3568,2.0494,cm,42,55,100,"Alzou / Classique (Le moulin de Ramon - Boscau pont ferroviaire)"
O541401001,FR,"Céor @ Cassagnes-Bégonhès",44.169701,2.5296,cm,None,70,None,"Céor / Classique (Moulin de Born - Lestrebaldie)"
O548293002,FR,"Viaur @ St-Just-sur-Viaur [Le Cambon]",44.123699,2.365,cm,45,70,None,"Viaur / Tayac - Pont du Navech | Viaur / Pont de La Roque - La Vicasse"
O576251001,FR,"Aveyron @ Montricoux",44.073002,1.6167,cm,10,50,80,"Aveyron / Turlande - Cazals"
O702153003,FR,"Lot @ Mende [HE]",44.520901,3.4949,cm,55,66,80,"Lot / Bagnols les Bains - Nojaret"
P159251001,FR,"Maronne @ Argentat [Basteyroux]",45.083401,1.9463,m³/s,5,20,40,"Maronne / La Broquerie - Argentat (D12)"
P165001001,FR,"Dordogne @ Altillac [Beaulieu]",44.977299,1.8435,cm,110,130,170,"Dordogne / Vague de Beaulieu - Bras de gauche | Dordogne / Vague de Beaulieu - Sous la passerelle | Dordogne / Vague de Carennac"
P190291001,FR,"Cère @ Nèpes",44.959702,2.2014,m³/s,15,30,None,"Maronne / Barrage du Gour Noir - Tours de Merle (D13) | Cère / Lamativie gare - Laval de Cère | Cère / La Roquebrou - Lamativie gare"
P303101001,FR,"Vézère @ Monceaux-la-Virolle [Lestards]",45.576199,1.8382,cm,80,90,100,"Vézère / Gorges de la Virolle (Viam - Treignac)"
P320101001,FR,"Vézère @ Voutezac [Le Saillant]",45.284901,1.4638,m³/s,8,30,60,"Vézère / Vigeois - Estivaux"
P323401001,FR,"Loyre @ Voutezac [Pont-de-l'Aumonerie]",45.306099,1.4151,m³/s,2,4,6,"Clan / Allassac (Pont D34 - Passerelle de Verdier) | Brezou / Pont de Bleygeat (D156) - Confluence avec la Vézère | Loyre / Orgnac sur Vézère (Pont D9E2) - Ceyrat (Pont D134) | Clan / Passerelle de Verdier - Donzenac (Pont du Gaucher)"
P332251001,FR,"Corrèze @ St-Yrieix-le-Déjalat",45.468498,1.9647,cm,70,83,115,"Douyge / Pont du Mas - Usine hydroélectrique | Doustre / Pont sous Salins - Champagnac la Nouaille (Pont D60E) | Soudeillette / Pont sous Darnets (D103) - Pont des Bouyges | Corrèze de Pradines / Pradines - Pont de Grandsaigne | Corrèze / Saint Yrieix le Déjalat (Pont de Lanour - Le saut du Loup) | Corrèze / Saint Yrieix Le Déjalat (Le saut du Loup) - Sarran (Pont de Rouffiat) | Corrèze / Sarran (Pont de Rouffiat) - Corrèze (Camping) | Corrèze / Bar (Centrale hydroélectrique) - Tulle | Luzège / Pont de l'Herme - Pont des Bouyges | Luzège / Pont des Bouyges - Meynie (Pont D62) | Vianon / Pont vers Espinasse - Saint Hilaire Luc | Vianon / Saint Hilaire Luc - Retenue de la Luzège | Diège / Saint Pardoux Le Vieux (Pont D9) - Chaveroche (Pont D67) | Diège / Chaveroche (Pont D67) - Pont Tabourg | Diège / Pont Tabourg - Pont Rouge | Riou Tort / Barrage du Riou Tort - Confluence avec la Maronne | Ruisseau d'Égletons / Egletons (Lac du Deiro) - Pont sous Darnets (D103) | Ruisseau de la Vigne / Pont D991 - Pont Roudal | Vézère de Pérols / Pont entre Pérols et Coudert - Retenue de Viam | Vézère de Saint-Merd / Pont Crouziat - Retenue de Viam | Chavanon / Gorges (Pont D1089 - Lac de Bort les Orgues) | Corrèze / Ruines de Montamar - Pont de Lanour"
P335252001,FR,"Corrèze @ Corrèze",45.372299,1.8802,cm,135,160,220,"Corrèze / Corrèze (Pont Neuf) - Bar (Centrale hydroélectrique)"
P350251001,FR,"Corrèze @ Tulle",45.274899,1.7793,m³/s,5,15,40,"Corrèze / Tulle - Saint-Hilaire-Peyroux"
P367401001,FR,"Saint-Bonnette [La Montane] @ Laguenne",45.250801,1.7655,cm,100,125,150,"Montane / Etang de Ruffaud - Gimel les Cascades | Montane / Sous les cascades de Gimel - Pont de la Prade | Montane / Pont de la Prade - Confluence avec la Saint Bonnette | Saint-Bonnette / Pont sous Bussière - Confluence avec la Saint Bonnette"
P634251001,FR,"Auvézère @ Cubas",45.297798,1.1273,cm,155,170,185,"Auvézère / Savignac Lédrier - Saint Mesmin (Pont du moulin, D72)"
Q010003001,FR,"Adour @ Bagnères-de-Bigorre",43.061298,0.1553,cm,60,80,110,"Adour de Lesponne / Chiroulet - Pont d'Abay | Adour de Lesponne / Pont d'Abay - Pont de Lesponne | Adour de Lesponne / Pont de Lesponne - Usine de Baudéan | Adour de Payolle / Pont de Trassouet - Pont de Campan | Adour de Payolle / Pont de Campan - Usine de Baudéan | Adour / Usine de Baudéan - Bassin de Slalom de Bagnères de B. | Adour / Bassin de Slalom de Bagnères de B. - Bassin de Slalom de Tarbes"
Q052253001,FR,"Arros @ Tournay",43.184101,0.2411,cm,40,55,80,"Arros / Gourgue d'Asque - Pont de Bulan | Arros / Pont de Bulan - Bourg de Bigorre"
Q470101001,FR,"Gave de Pau @ Argelès-Gazost",43.005199,-0.0814,cm,90,100,None,"Gave de Pau / Gorges de Luz (Pont de la Reine - Villelongue) | Gave de Pau / Argeles-Gazost - Lourdes | Gave d'Azun / Aucun - Centrale de Nouaux | Gave d'Azun / Centrale de Nouaux - Pont de Tilhos | Gave de Pau / Villelongue - Argeles-Gazost"
Q485000101,FR,"Ouzom @ Asson",43.140701,-0.2511,cm,40,60,80,"Ouzom / Ferrières - Pont de l'Arressec"
U100401001,FR,"Ognon @ Fourguenons [Servance]",47.8027,6.6676,m³/s,None,None,None,"Ognon / Pont de Miellin - Ternuay | Doue de l'Eau / L'Envers de la Grève - Champs Pory"
U234502001,FR,"Savoureuse @ Giromagny",47.741199,6.8275,m³/s,8,11,14,"Savoureuse / Malvaux - Giromagny"
U260406001,FR,"Loue [source] @ Ouhans",47.0116,6.2989,m³/s,7,11,14,"Loue / La source de la Loue - Mouthier (usine électrique)"
V293401001,FR,"Albarine @ St-Denis-en-Bugey [Pont-St-Denis]",45.9548,5.3317,m³/s,6,25,50,"Albarine / Saint Rambert (Pont D1504) - Pont de Bettant (D77A)"
V414521101,FR,"Eyrieux @ Pont de Chervil",44.8825,4.5252,cm,155,None,None,"Eyrieux / Le Nassier - Saint-Sauveur-de-Montagut | Eyrieux / Belsentes – Le Nassier"
V417402101,FR,"Eyrieux @ Pontpierre",44.815701,4.7069,m³/s,12,None,None,"Eyrieux / Le Moulinon - Les Ollières sur Eyrieux | Eyrieux / Les Ollières sur Eyrieux - Pimpie | Eyrieux / Pimpie - St Laurent du Pape"
V426401001,FR,"Drôme @ Saillans",44.689899,5.2085,m³/s,4,40,75,"Drôme / Die - Pontaix | Drôme / Pontaix - Saillans | Drôme / Saillans - Aouste sur Sye | Roanne / Pont de la D135 - Coopérative viticole"
V501401001,FR,"Ardèche @ Vogüé",44.542599,4.4098,m³/s,10,None,None,"Ardèche / Aubenas (pont Jaune) - Vogüe"
V503502001,FR,"Baume @ Rosières",44.481602,4.2514,m³/s,10,20,50,"Baume / Pont de Chastenet - Pont du Gua | Baume / Pont du Gua - Pont des Malines | Baume / Pont des Malines - Pont submersible de Vernon | Drobie / Sablières (Pont du Mas) - Intersection D220 / D320 | Drobie / Intersection D220 / D320 - Pont des Malines | Sueille / Dompnac - Pont de la D220"
V532401002,FR,"Aigue @ St-May [RD 562]",44.425701,5.3174,m³/s,5,12,25,"Eygues / Rémuzat - Saint May"
V712401501,FR,"Gard @ Mialet",44.1259,3.9095,m³/s,6,30,60,"Gardon de Mialet / Pont de Falguière - Passerelle submersible des Plans | Gardon de Mialet / Pont du Martinet - Pont de Falguière"
X045401001,FR,"Ubaye @ Le Lauzet-Ubaye [Roche-Rousse]",44.449501,6.399,m³/s,20,40,60,"Ubaye / Sortie des gorges de St.Paul - Jausiers | Ubaye / Les Thuiles - La Fresquière | Ubaye / Ex-infrans (La Fresquière - Le Martinet) | Ubaye / Classique (Le Martinet - Le Lauzet) | Ubaye / Infrans du bas (Le Lauzet - Le Lac) | Bachelard / Le grand pont D902 - Barcelonnette | Bachelard / Les Longs - Le grand pont D902"
X281121001,FR,"Verdon @ Vinon-sur-Verdon [Le Hameau]",43.727798,5.8134,m³/s,15,36,48,"Verdon / Slalom Vinon Sur Verdon"
Y255001002,FR,"Orb @ Vieussan [Aval]",43.534698,2.9858,m³/s,5,20,None,"Orb / Barrage de Colombières - Tarassac | Orb / Tarassac - Ceps"
Y340403001,FR,"Vidourle @ St-Hippolyte",43.9608,3.8625,cm,50,70,90,"Salindrenque / Pont de la Laine - Lasalle (Pont du Pailler) | Bouzons / Pont des Vignolles - Lasalle | Vidourle / Pont de Malignos - Pont de l'Eglise de Cros"
Y561503001,FR,"Loup @ Villeneuve-Loubet [Moulin du Loup]",43.648201,7.1374,cm,70,100,140,"Loup / Les Gorges du Loup (Plage à Maguy - Camping le Castellas) | Loup / Camping Castellas - Base de plein air SPCOC Canoe Kayak | Loup / Base de plein air SPCOC Canoe Kayak - Embouchure"
Y612501201,FR,"Var @ Malaussène",43.9333,7.1192,m³/s,None,None,None,"Var / Touët-sur-Var - Malausséne | Var / Puget-Théniers - Touët-sur-Var | Var / Malausséne - Confluence Tinée"
Y702000201,FR,"Golo @ Omessa [Francardo2]",42.4006,9.1941,cm,160,200,250,"Golo / Ponte Castirla - Francardo | Golo / Francardo - Ponte Leccia"
Y711000201,FR,"Asco @ Morosaglia [Ponte-Leccia]",42.475399,9.2045,cm,110,None,None,"Asco / Haut (Pont Genois - Pont de la D147) | Asco / Moyen (Pont de la D147 - Pont de Tesa)"
Y721000101,FR,"Golo @ Volpajola [Barchetta]",42.506699,9.3723,cm,100,150,190,"Golo / Bas (Barchetta - Casamozza) | Golo / Ponte Novu - Barchetta"
Y830000101,FR,"Gravona @ Peri",42.0005,8.8795,cm,145,170,200,"Gravona / Bocognano (Passerelle après Busso) - Tavera (Pont de Vignale) | Gravona / Camping de Tavaco - Sarrola Carcopino (Pont de Cuttoli, D1)"
Y900000101,FR,"Restonica @ Corte",42.263302,9.0877,cm,95,115,None,"Restonica / Bas (Pont du camping - Corte, Pont de la N2193)"
Y902000101,FR,"Vecchio @ Venaco [Pont de Noceta]",42.224098,9.2054,cm,135,180,None,"Vecchio / Bas (Pont de Noceta - Pont d'Ajuinta) | Vecchio / Moyen (Pont de la N193 - Pont de Noceta) | Vecchio / Gorge Haute (Canaglia - Pont de la N193)"
Y911000201,FR,"Tavignano @ Antisanti [Pont du Faïo]",42.182098,9.3869,cm,125,170,230,"Tavignano / Gorge (Ernella - Pont de la N200) | Tavignano / Pont d'Ajuinta - Ernella"
rdbrmc.1,FR,"Valserine @ Chézery",46.221802,5.8657,m³/s,7,14,20,"Valserine / Le Boulu - Niaizet | Valserine / Niaizet - 300m plus bas | Valserine / Sous Niaizet - La Rivière | Valserine / La Rivière - Chézery | Valserine / Chézery - Pont du Dragon"
rdbrmc.1000,FR,"Doubs @ Ville-du-Pont [Spey]",47.002998,6.4803,m³/s,7,25,60,"Doubs / Défilé d'Entreroches - Grotte du Trésor"
rdbrmc.1027,FR,"Dranse de Morzine @ Baume",46.265099,6.6205,m³/s,10,16,20,"Dranse d'Abondance / Le Fion - Digue | Dranse d'Abondance / Centfontaine - Le Fion | Dranse d'Abondance / Abondance - Centfontaine | Dranse de Morzine / Saint Jean D'Aulps - Avant le tunnel des Tines | Dranse de Morzine / Après le tunnel des Tines - Baume"
rdbrmc.1047,FR,"Isère @ La Gache [DREAL]",45.434898,6.0048,cm,180,240,330,"Isère / Vague de Goncelin"
rdbrmc.1062,FR,"Dranse @ Reyvroz",46.326302,6.5858,m³/s,6,15,25,"Dranse / Centrale électrique de Bioge - 800m sous le pont de la D902 | Dranse / 800m sous le pont de la D902 - Base de raft"
rdbrmc.1099,FR,"Luech @ Chamboredon",44.306599,4.0437,m³/s,4,None,None,"Luech / Pont du Goubelet - Camping de Peyremale"
rdbrmc.1107,FR,"Ay @ Ardoix",45.191502,4.7698,m³/s,2.5,5,8,"Rivière d'Ay / Pont de la D221 - Sarras"
rdbrmc.1151,FR,"Oignin @ Maillat",46.134201,5.539,m³/s,7,16,25,"Borrey / Pont D12 Vieu-d'Izenave - Roche Lamartine | Borrey / Sous la cascade de la Roche Lamartine - Pont d'Oisselaz"
rdbrmc.1243,FR,"Dordogne @ St-Sauves-d'Auvergne",45.6036,2.6874,m³/s,4,10,15,"Dordogne / Gorges d'Avèze: La Bourboule (Centrale électrique) - Avèze (Pont D987)"
rdbrmc.1244,FR,"Burande @ la Tour-d'Auvergne",45.528599,2.6964,m³/s,1.6,2.3,3,"Burande / Singles (Pont D 73) - Pont Vieux"
rdbrmc.1246,FR,"Grande Rhue @ Condat - Nouvelle échelle rive gauche",45.3381,2.7623,m³/s,10,15,20,"Eau verte / Saint Genes Champespe (Pont D88) - Labanut ( D522, Prise d'eau) | Rhue / Pont de Chanterelle - Pont du hameau de la Chapelle | Santoire / Saint Bonnet de Condat - Feniers (Pont D62) | Santoire / Feniers (Pont D62) - Condat (Pont de la Laspeyrière: D678) | Tarentaine / Pont du Diable - Champs sur Tarentaine (Pont du Gondier: D49) | Rhue / Pont du hameau de la Chapelle - Pont de Condat | Rhue / Barrage des Essarts - Confluence avec la Petite Rhue | Rhue / Barrage de Voussaire - Confluence avec la Tarentaine | Tarentaine / Pomier - Barrage de la Tarentaine | Tarentaine / Barrage de la Tarentaine - Pont du Diable | Tarentaine / Champs sur Tarentaine (Pont du Gondier: D49) - Confluence avec la Rhue (Pont D22) | Petite Rhue / Apchon (Pont D3) - Pont D678 | Petite Rhue / Pont D678 - Retenue du barrage de Journiac | Véronne / Riom ès Montagnes - Retenue du barrage de Journiac"
rdbrmc.1252,FR,"Mars @ Bassignac",45.296902,2.3878,m³/s,7,11,15,"Marilhou / Le moulin de Flore (D22 entre Meallet et Auzers) - Vendes (Pont D922 sur la Sumène) | Mars / Pons - Vendes"
rdbrmc.1257,FR,"Jordanne @ Aurillac [Passerelle Paul Riotte]",44.923599,2.4447,m³/s,5,10,None,"Jordanne / Le Liaumiers - Lascelles"
rdbrmc.158,FR,"Hérault @ Gignac [Aval]",43.651501,3.5346,m³/s,2,16,30,"Hérault / Gorges du diable (Saint Guilhem le Désert - Pont du diable)"
rdbrmc.184,FR,"Sémouse @ St-Loup-sur-Semouse",47.885601,6.2717,m³/s,12,15,None,"Semouse / Les Forges Neuves et Semouse - Pont de La Chaudeau | Augronne / Casino de Plombières les Bains - Les Prés Lamber"
rdbrmc.21,FR,"Doubs @ Besançon",47.240299,6.03,m³/s,300,380,450,"Doubs / La Malate, Vague, Besançon | Doubs / Deluz, Vague, proche de Besançon | Doubs / La Scie, Vague, proche de Besançon | Doubs / Le Millénium, Baume les Dames"
rdbrmc.211,FR,"Fier @ Dingy-St-Clair",45.904999,6.2067,m³/s,7,30,50,"Fier / Dingy - Pont de Brogny | Nom / Plan du Bourgeal - Thônes"
rdbrmc.213,FR,"Chéran @ Allèves [La Charniaz]",45.720699,6.1034,m³/s,7,14,28,"Chéran / Pont avant Le Chatelard - Barrage du Pont de Bange | Chéran / Pont de l'Abime - Alby | Chéran / Alby - Rumilly"
rdbrmc.219,FR,"Guiers @ St-Laurent-du-Pont",45.388699,5.7362,m³/s,None,None,None,"Guiers Mort / St.Pierre de Chartreuse - Pont Péran | Guiers Mort / Pont de St.Bruno - Tunnel Fourvoirie"
rdbrmc.22,FR,"Loue @ Vuillafans",47.0555,6.2272,m³/s,4,20,100,"Loue / Mouthier - Vuillafans"
rdbrmc.233,FR,"Galaure @ St-Uze",45.18,4.8496,m³/s,7,15,30,"Galaure / Sainte Uze - Saint Vallier"
rdbrmc.236,FR,"Glueyre @ Gluiras",44.829601,4.5184,m³/s,2,None,None,"Glueyre / Pont de Champlovier - Pont submersible | Auzène / Pont d'Auzène - Le Moulinon | Auzène / Les Farges - Pont d'Auzène | Dorne / Dornas – Mariac | Glueyre / Pont de Moyere - Pont de Champlovier | Dorne / Darnepessac – Pont  de la Gardette | Talaron / Lascours – Pont  de la D409 | Glueyre / Albon - Pont de Moyère"
rdbrmc.238,FR,"Bès @ Châtillon-en-Diois",44.6931,5.4907,m³/s,7,12,20,"Archiane / Archiane - Menée | Bès / Pont de Boulc - Châtillon en Diois | Bès / Châtillon en Diois - Pont de Quart"
rdbrmc.243,FR,"Ardèche @ Pont-de-Labeaume",44.666302,4.2908,m³/s,10,40,80,"Ardèche / Pont de Labeaume - Lalevade"
rdbrmc.251,FR,"Bonne @ Entraigues [Pont Battant]",44.900299,5.9445,m³/s,10,15,None,"La Bonne / Gragnolet - Entraigues | La Bonne / Valbonnais - Pont de la N85 | La Bonne / Barrage du Pont Haut - Pont de Ponsonnas (D526)"
rdbrmc.254,FR,"Méaudret @ Méaudre",45.112099,5.531,cm,80,100,None,"Bourne / Pont de la D531 - La Balme de Rancurel"
rdbrmc.27,FR,"Dessoubre @ St-Hippolyte",47.305199,6.7941,cm,95,100,130,"Dessoubre / Pont de l'Engoulot - Gigot"
rdbrmc.298,FR,"Gardon de Saint-Jean @ St-Jean-du-Gard",44.103901,3.8838,m³/s,8,20,40,"Gardon de Saint-Jean / Le Cabanis - Saint-Jean-Du-Gard"
rdbrmc.38,FR,"Bienne @ Jeurre",46.362701,5.7062,m³/s,45,100,250,"Bienne / La Rixouse - St. Claude"
rdbrmc.433,FR,"Ain @ Bourg-de-Sirod",46.723999,5.9558,m³/s,12,40,80,"Ain / Source de l'Ain - Sirod"
rdbrmc.434,FR,"Angillon @ Champagnole",46.755901,5.8689,m³/s,6,10,20,"Angillon / Ardon - Pont D5 | Angillon / Pont D5 - La Praz"
rdbrmc.511,FR,"Ardèche @ Vallon-Pont-d'Arc",44.398602,4.385,m³/s,5,60,150,"Ardèche / Base de Salavas - Le Pont d'Arc | Ardèche / Gorges (Le Pont d'Arc - St Martin d'Ardèche) | Ardèche / Bassin de slalom de Vallon Pont D'Arc | Ibie / Cascade de l'Ibie - Pont RD558"
rdbrmc.517,FR,"Volane @ Vals-les-Bains",44.659698,4.3672,m³/s,12,None,None,"Volane / Antraigues (Pont d'Aubert) - Vals les Bains (Pont du Bridou)"
rdbrmc.519,FR,"Doux @ Tournon",45.067001,4.7809,m³/s,20,40,60,"Duzon / Grenade (Pont D219) - Pont du Duzon"
rdbrmc.56,FR,"Saône @ Verdun-sur-le-Doubs [Pont de la RD111]",46.902802,5.023,cm,80,100,None,"Saône / Charnay-lès-Chalon"
rdbrmc.592,FR,"Seille @ Voiteur",46.755199,5.6166,m³/s,9,15,30,"Seille / Ladoye - Pont D70"
rdbrmc.683,FR,"Esteron @ Le Broc [La Clave]",43.846298,7.1567,m³/s,None,None,None,"Esteron / Roquesteron - Pont de l'Esteron"
rdbrmc.684,FR,"Esteron @ Sigale [Pont du Coude]",43.864899,6.9564,cm,None,None,None,"Esteron / Aiglun - Vascognes | Esteron / Vascognes - Le Ranc"
rdbrmc.685,FR,"Vésubie @ Utelle [Pont du Cros]",43.8787,7.2313,cm,None,None,None,"Le Boréon / Les Trois Ponts - Confluence avec la Vésubie | Vésubie / Roquebillière - Lantosque | Vésubie / Le Fourcat - Pont du Suquet | Vésubie / Saint-Jean la Rivière - le Cros d'Utelle | Vésubie / Le Cros d'Utelle - Confluence avec le Var | Vésubie / Couloir de Lantosque (Lantosque - Le Fourcat)"
rdbrmc.692,FR,"Rhône @ Lyon [Perrache-CNR]",45.7481,4.831,m³/s,1000,1200,1400,"Rhône / Hawaï-sur-Rhône - Bras gauche rive gauche | Rhône / Hawaï-sur-Rhône - Bras gauche rive droite | Rhône / Hawaï-sur-Rhône - Bras droit rive droite | Rhône / Hawaï-sur-Rhône - Bras droit au centre"
rdbrmc.72,FR,"Rahin @ Plancher-Bas",47.730801,6.73,m³/s,5,10,14,"Rahin / Maison forestière du Rahin - Plancher les Mines | Rahin / Plancher les Mines - Plancher Bas | Rahin / Plancher Bas - Champagney"
rdbrmc.753,FR,"Tinée @ St-Sauveur-sur-Tinée [Rte Chap Ste Blaise]",44.084499,7.1055,cm,None,None,None,"Tinée / Le bourguet - Barrage d'Isola | Tinée / Viaduc de Valabre - St.Sauveur | Tinée / La Gorge Rouge (St.Sauveur - Bancairon)"
rdbrmc.802,FR,"Semine @ Châtillon-en-Michaille [COZ]",46.149799,5.8005,m³/s,20,55,None,"Semine / Orvaz - Le Martinet | Semine / Le Martinet - Saint-Germain-de-Joux | Semine / Saint-Germain-de-Joux - Châtillon en Michaille"
rdbrmc.808,FR,"Guiers Vif @ St-Christophe-sur-Guiers",45.442299,5.7826,m³/s,15,22,30,"Cozon / Entremont le Vieux - St.Pierre | Guiers Vif / Les Gorges (D520c - St. Christophe)"
rdbrmc.83,FR,"Ouvèze @ Buis-les-Baronnies",44.253201,5.2549,cm,200,225,250,"Ouvèze des Baronnies / Vercoiran - Buis les Baronnies"
