station_id,country,name,lat,lng,units,lw,mw,hw,rivers
cz.34215428,CZ,"Divoká Orlice @ Klášterec nad Orlicí",50.1175,16.555,m³/s,8,15,30,"Divoká Orlice / Zemská brána"
cz.41466398,CZ,"Mohelnice @ Raškovice",49.601398,18.4743,m³/s,5,10,15,"Mohelnice / Zlatník - Krásná"
rz.1213,CZ,"Černá @ Ličov",48.7299,14.5721,m³/s,5,10,25,"Černá / Třebíčko - Soběnov"
rz.1218,CZ,"Olše @ Jablunkov railway bridge [estimated]",49.580799,18.7591,m³/s,7,None,35,"Olše (Olza) / Jablunkov - Bystřice"
rz.1219,CZ,"Skalka @ Morávka",49.562,18.552099,m³/s,4,8,15,"Skalka / Úspolka - Hrachové"
rz.1220,CZ,"Slavíč @ Slavíč",49.583801,18.5546,m³/s,3,6,None,"Slavíč / Platoška - Slavíč"
rz.1345,CZ,"Vrchlice @ Vrchlice",49.9259,15.2278,m³/s,3,8,15,"Vrchlice / Vrchlické vodopády"
rz.1347,CZ,"Waldaist @ Pfahnlmühle",48.337101,14.568,cm,155,175,200,"Waldaist / Untere (Feiblmühl - Hohensteg)"
rz.1349,CZ,"Klabava @ Strašice",49.724998,13.7614,cm,50,70,90,"Klabava (Padrťský potok) / Tři Trubky - Strašice"
rz.1351,CZ,"Úpa @ Horní Maršov",50.6605,15.8203,m³/s,8,18,25,"Úpa / Pec pod Sněžkou - Horní Maršov"
rz.1353,CZ,"Černá Desná @ Souš",50.788799,15.3174,m³/s,2.5,5,8,"Černá Desná / Vodopády Černé Desné"
rz.1354,CZ,"Doubrava @ Spačice",49.8172,15.5955,m³/s,5,12,20,"Doubrava / Spačice - Pařížov Dam"
rz.1355,CZ,"Kamenice @ Kristiánov",50.8092,15.1844,m³/s,2.5,5,10,"Kamenice / Upper upper (Kristiánov)"
rz.1358,CZ,"Bělá @ Jeseník",50.227001,17.2082,m³/s,7,10,15,"Studený potok / Slides"
rz.1359,CZ,"Zbirožský potok @ Podmokly",49.943901,13.7456,m³/s,3,8,12,"Zbirožský potok / Skryjská jezírka"
rz.1422,CZ,"Teplá @ Teplička",50.1534,12.8457,m³/s,7,14,22,"Teplá / Pramenský potok - Bečov"
rz.1428,CZ,"Kamenice @ Josefův Důl",50.791401,15.1957,m³/s,6,8,10,"Kamenice / Upper (Dam section)"
rz.1436,CZ,"Chomutovka @ Třetí Mlýn",50.498901,13.3307,m³/s,3,6,10,"Chomutovka / Bezručovo údolí"
rz.1454,CZ,"Skalice @ Varvažov",49.439602,14.1282,m³/s,6,12,20,"Skalice / Varvažov - Orlík"
rz.1455,CZ,"Svratka @ Borovnice",49.678001,16.191099,m³/s,4,8,15,"Svratka / České Milovy - Krásné"
rz.1625,CZ,"Wetlina @ KALNICA",49.1889,22.429199,cm,310,330,350,"Wetlina / Sine Wiry"
rz.1626,CZ,"Biały Dunajec @ ZAKOPANE-HARENDA",49.316101,19.977501,m³/s,4,9,15,"Zakopianka / Zakopane"
rz.1627,CZ,"Wołosaty @ STUPOSIANY",49.1856,22.683599,cm,200,210,220,"Nasiczniański Potok / Kaskady Nasiczańkie"
rz.1629,CZ,"Bradava @ Žákava",49.6311,13.5322,m³/s,2.5,6,12,"Bradava / Hvížďalka"
rz.1630,CZ,"Holoubkovský potok @ Rokycany - Dvořákova",49.7467,13.6003,cm,50,60,75,"Holoubkovský potok / Borecký vodopád"
rz.1680,CZ,"Kamenice @ Plavy",50.706501,15.3185,m³/s,5,12,25,"Kamenice / Plavy - Jesenný"
rz.1682,CZ,"Morava @ Vlaské",50.088299,16.901199,m³/s,7,11,15,"Morava / Vilemína - Dolní Morava"
rz.402,CZ,"Krupá @ Habartice",50.102798,16.929701,m³/s,5,10,20,"Krupá / Chrastice - Hanušovice"
rz.403,CZ,"Zdobnice @ Slatina nad Zdobnicí",50.136299,16.3794,cm,95,105,115,"Říčka / Říčky - Julinčino údolí | Zdobnice / Kamenec - Pěčín"
synthetic.25,CZ,"Smědá @ Below Černá, Bílá confluence [estimated]",50.8466,15.2702,m³/s,3,5,8,"Smědá / Smědava - Bílý potok"
synthetic.26,CZ,"Jizera  @ Below Oleška confluence [estimated]",50.601501,15.332,m³/s,20,40,60,"Jizera / Riegrovka"
synthetic.27,CZ,"Schwarzwasser @ ohne Breitenbach [estimated]",50.434399,12.73,m³/s,5,8,10,"Schwarzwasser (Černá) / Luhy - Potůčky"
bw-x.170,DE,"Schönmünz @ Schönmünzach",48.6068,8.3637,m³/s,4,12,20,"Schönmünz / Hahnbrunnenwiese - Kirschbaumwassen | Langenbach / "
bw-x.246,DE,"Murg @ Forbach",48.615101,8.3641,cm,90,120,150,"Murg / Untere (Murghalle Forbach - Fabrikstraße, Weisenbach)"
bw-x.9082,DE,"Obere Argen @ Zwirkenberg",47.646599,9.9691,cm,85,95,105,"Obere Argen / Eistobel | Obere Argen / Eistobel Ende - Malleichen | Jugetach / Wiederhofen - Schüttentobel"
bw.0001,DE,"Wutach @ Eberfingen",47.720699,8.4311,cm,80,120,160,"Steina / Bonndorf - Tiengen | Wutach / Untere (Wehr vor Achdorf - Grimmelshofen) | Schlücht / Tannenmühle - Riedersteg | Schlücht / Riedersteg - Witznau"
bw.0004,DE,"Donau @ Kirchen-Hausen",47.925499,8.6796,cm,120,150,185,"Donau / Donauwelle, Geisingen"
bw.0072,DE,"Wutach @ Ewattingen",47.848301,8.4502,cm,90,115,150,"Wutach / Gutach - Schattenmühle | Wutach / Mittlere Wutach / Wanderstrecke (Schattenmühle - Wutachmühle)"
bw.0074,DE,"Wiese @ Zell",47.699501,7.8455,cm,90,100,110,"Wehra / Todtmoos - Au (Sägewerk) | Wehra / Au (Sägewerk) - Stausee vor Wehr | Wiese / Wolfsschlucht (Rothausbahn - Schlechtnau) | Wiese / Utzenfeld - Atzenbach | Prägbach / Wasserfall - Rest. Sonnenhof, Präg | Prägbach / Rest. Sonnenhof, Präg - Utzenfeld | Schönenbach / Muggenbrunn - Todtnau | Wiedenbach / Einmundung Gschwenderbach - Marmeladenfabrik"
bw.0112,DE,"Oos @ Baden-Baden",48.7743,8.2201,cm,70,80,90,"Grobbach / Geroldsauer Wasserfall"
bw.0114,DE,"Acher @ Kappelrodeck",48.5844,8.1259,cm,90,105,120,"Acher / Obere: Hinterseebach - vor Wehr bei Ottenhöfen | Acher / Untere: nach Wehr bei Ottenhöfen - Oberachern"
bw.0170,DE,"Schönmünz @ Schönmünzach (cm)",48.6068,8.3637,cm,100,120,None,"Raumünzach / Obere (unterhalb Hundsbach - Stausee Erbersbronn) | Raumünzach / Untere (Stausee Erbersbronn - Mündung in Murg)"
bw.0189,DE,"Wilde Gutach @ Simonswald",48.111801,8.0336,cm,80,100,120,"Wilde Gutach / Obere (Waldschlucht: Hexenlochmühle - Kraftwerk) | Wilde Gutach / Untere (Kraftwerk - Simonswald)"
bw.0206,DE,"Hauensteiner Alb @ St. Blasien",47.756901,8.1447,cm,110,130,170,"Ibach / Kleinkraftwerk - Albmündung | Menzenschwamnder Alb / - St. Blasien | Bernauer Alb / Poche, Bernau - St. Blasien | Steinbach/Leiterbach /  | Ibach / - Igelschlatter Säge | Schwarzenbächle / - Igelschlatter Säge"
bw.0212,DE,"Untere Argen @ Beutelsau",47.7047,9.8187,cm,40,60,80,"Untere Argen / Holzbrücke - Beutelsau | Untere Argen / Herfatz - Schomburg | Untere Argen / Schomburg - Zusammenfluss"
bw.0213,DE,"Argen @ Gießen",47.627998,9.5961,cm,60,110,160,"Argen / Rennstrecke | Argen / Laimnauer Strecke | Argen / Steinenbach Bogen"
bw.0300,DE,"Elz @ Gutach",48.119099,7.9888,cm,85,110,150,"Elz / Waldkirch - Emmendingen | Elz / Oberprechtal - Winden | Elz / Obere Welle, Kollmarsreute | Elz / Untere Welle, Kollmarsreute"
by.11401009,DE,"Iller @ Sonthofen",47.5242,10.2604,m³/s,50,100,200,"Iller / Standardstrecke (Marinebrücke - Immenstadt)"
by.11411104,DE,"Stillach @ Birgsau",47.326,10.2669,m³/s,2,5,8,"Stillach / Stillachklamm (Oberstorf) | Stillach / Fellhornbahn - Freiberg"
by.11425200,DE,"Ostrach @ Reckenberg",47.504601,10.3236,m³/s,5,9,18,"Ostrach / Aueleklamm (E-Werk - Guferbrücke) | Ostrach / Heidachbrücke - Bad Oberdorf"
by.11432002,DE,"Gunzesrieder Ach @ Gunzesried",47.521999,10.2299,m³/s,3,6,None,"Ostertalbach / Wasserfallstrecke | Gunzesrieder Ach / Halder Tobel"
by.12183005,DE,"Vils @ Pfronten Ried",47.5807,10.5575,m³/s,5,10,15,"Vils / Vilsfall - Vilstalsäge"
by.14114003,DE,"Tirschenreuther Waldnaab @ Johannisthal",49.812,12.1647,cm,100,120,160,"Waldnaab / Waldschlucht"
by.15214003,DE,"Großer Regen @ Zwiesel",49.018501,13.2302,m³/s,10,27,50,"Großer Regen / Eisenbahnerschwall | Rothbach / Waldschlucht"
by.15217908,DE,"Teisnach @ Teisnach",49.036499,12.9966,m³/s,None,None,None,"Teisnach / "
by.16008506,DE,"Isar @ Plattling",48.770901,12.8836,cm,160,230,280,"Isar / Sohlschwelle Plattling"
by.17415006,DE,"Große Ohe @ Schönberg",48.8368,13.3538,m³/s,7,14,20,"Große Ohe / Steinklamm | Große Ohe / Waldschlucht"
by.17425000,DE,"Mitternacher Ohe @ Eberhardsreuth",48.818901,13.3539,m³/s,None,None,None,"Mitternacher Ohe / "
by.17445007,DE,"Kleine Ohe @ Grafenau",48.856899,13.3874,m³/s,5,8,12,"Kleine Ohe / B533-Run"
by.17466007,DE,"Reschwasser @ Unterkashof",48.848801,13.5424,m³/s,8,15,20,"Reschbach / Oberer | Reschbach / Unterer (Vorfahrt zur Wolfsteiner Ohe)"
by.17467000,DE,"Sausswasser @ Linden",48.8246,13.5656,m³/s,5.5,7.5,10.5,"Saussbach / Saussbachschlucht (Vorfahrt zur Wolfsteiner Ohe)"
by.19145208,DE,"Erlau @ Erlachleiten",48.5774,13.5797,cm,150,180,200,"Erlau / Saussbach (Oberlauf) | Erlau / Lieblmühle - Donaumündung"
by.19168000,DE,"Ranna @ Rannasäge",48.572102,13.7448,m³/s,2,4,6,"Osterbach / Grenzbach"
by.21627008,DE,"Weißach @ Oberstaufen",47.542599,10.0157,m³/s,6,8,10,"Weißach / Steibisschlucht (Lanzenbach - Weißach) | Weißach / Buchenegger Fall | Weißach / Oberste (Ehrenschwanger Tal) | Weißach / Oberste (Startschlucht)"
