# Pegelnummer,lat,lon  -- exact WGS84 from the LHP get_lagepegel feed (SN_ pegel). Ids absent here fall back to the pixel-map fit.
501010,50.875800,14.235200
501060,51.054500,13.738800
501110,51.311500,13.293300
501261,51.553700,13.010100
550091,50.926400,14.300400
550290,50.976200,14.284300
550390,51.028300,14.211400
550490,50.881900,14.046600
550620,50.916300,13.977400
550710,50.833000,13.979700
550762,50.867300,13.854300
550800,51.124400,14.177400
550810,51.022100,13.993800
550913,50.789600,13.814300
550931,50.914100,13.816100
550961,50.765000,13.787300
551000,50.943000,13.766100
551190,50.987000,13.638100
551302,50.727800,13.701300
551351,50.979600,13.617100
551411,50.837300,13.675600
551465,50.980500,13.629100
551601,51.055000,13.535100
551802,51.015400,13.477500
551811,51.092000,13.412100
552000,51.134700,13.309500
552101,51.201200,13.161400
552190,51.241200,13.017000
553001,51.277200,14.107500
553013,51.348200,14.201000
553020,51.476400,14.197000
554210,51.206100,14.305600
554220,51.294200,14.323700
554411,51.254000,13.951000
554510,51.114600,13.919800
554520,51.198300,13.772900
554550,51.290600,13.498800
560021,51.253000,12.777400
560051,51.590800,12.580700
562010,50.459400,12.490300
562014,50.529700,12.604700
562031,50.589500,12.700000
562070,50.740900,12.493600
562090,50.901400,12.671400
562115,51.006800,12.772500
563745,50.437000,12.728300
563780,50.547700,12.783400
563890,50.527000,12.877000
564010,50.492000,12.786300
564290,50.794600,12.606200
564400,50.845300,12.922100
564500,50.648200,12.828900
564505,50.727200,12.907400
564611,50.757300,12.858000
565990,50.799700,13.443500
566010,50.859000,13.392900
566040,51.067500,13.265100
566055,51.087900,13.140000
566085,51.159300,12.948700
567221,50.983000,13.378700
567301,50.902200,13.248100
567310,51.031300,13.159200
567400,50.610500,12.960400
567420,50.683800,13.055400
567451,50.886200,13.020000
567470,51.055200,13.021600
567840,50.528400,13.131100
567850,50.631100,13.078500
568102,50.693100,13.496800
568133,50.664300,13.329000
568160,50.751700,13.192500
568185,50.861500,13.074700
576401,50.329400,12.258100
576420,50.426700,12.089500
576421,50.478900,12.098600
576440,50.610800,12.168200
576631,51.210400,12.291600
577211,50.535200,12.403400
577220,50.610900,12.272200
577501,50.781300,12.370500
577540,51.082800,12.443800
577571,51.211900,12.387200
577901,51.045800,12.570000
578091,51.305900,12.565900
578110,51.381500,12.435600
582005,51.039000,14.535700
582010,51.078800,14.435000
582032,51.215900,14.472600
582035,51.167900,14.408700
582060,51.330600,14.530300
582820,51.510800,14.404300
583090,51.071500,14.649200
583122,51.201900,14.623200
583200,51.405500,14.574700
583235,51.155000,14.749700
583271,51.289700,14.746600
583280,51.154200,14.923400
583290,51.271300,14.885000
660100,50.896600,14.836700
660160,51.161100,14.993200
660193,51.472000,14.946900
662011,50.897100,14.670100
662096,50.953600,14.728900
663000,51.025300,14.796400
