# pgnr,lat,lon - HND Bayern station coordinates (UTM32/ETRS89 stammdaten -> WGS84)
14402303,49.38987,12.69824
14402507,49.38938,12.69632
14405200,49.33725,12.51516
14406009,49.3569,12.4485
14406508,49.35952,12.44792
14408004,49.40445,12.21094
14425003,49.43539,12.59606
14425604,49.40877,12.60404
14426006,49.40475,12.60504
14465008,49.43207,12.45933
14483000,49.4873,12.44932
14486008,49.41077,12.30887
14513009,49.44099,11.99196
14601004,49.6297,11.83026
14602007,49.61197,11.80146
14603000,49.53282,11.79953
14604002,49.44817,11.85482
14606008,49.26537,11.92561
14608003,49.20015,11.94323
14615009,49.6404,11.83144
14631005,49.62585,11.7992
14644801,49.49437,11.7979
14670505,49.45809,11.89541
14671000,49.43288,11.89892
14681003,49.36933,11.68022
14685004,49.29209,11.81424
15201001,49.15706,12.82156
15202300,49.18147,12.7464
15204000,49.21622,12.66802
15205501,49.18997,12.4952
15207055,49.19885,12.27143
15207507,49.22282,12.17466
15210206,49.01005,13.2209
15212008,49.04228,12.9993
15212700,49.07121,12.91997
15213500,49.06006,12.9177
15214003,49.01849,13.23013
15214604,49.00734,13.3713
15215600,49.01306,13.33522
15216009,49.00938,13.2345
15217908,49.03653,12.99655
15221009,49.17162,13.09085
15228008,49.16877,12.85316
15241006,49.33057,12.97557
15242304,49.29984,12.89915
15242305,49.29984,12.89915
15242406,49.31745,12.86735
15242508,49.31872,12.86451
15243001,49.30219,12.83646
15246000,49.24043,12.73345
15247002,49.28234,12.91772
15247501,49.32043,12.89498
15248555,49.32759,12.85368
15249355,49.33729,12.82789
15256855,49.29149,12.6793
15257655,49.11819,12.60834
15257755,49.20658,12.58059
15314008,49.06259,12.27487
15315000,49.03861,12.25239
15325004,48.94119,12.20041
15403006,48.71204,12.01368
15408000,48.91549,12.4254
15422500,48.79281,12.30089
15916000,48.81046,12.56973
15935504,48.82062,12.68689
15993001,48.85399,12.96248
16000708,47.44334,11.27083
16001303,47.55342,11.41808
16001904,47.58271,11.54947
16002000,47.58575,11.55128
16002204,47.58806,11.55066
16002500,47.59133,11.5476
16003003,47.68426,11.57187
16003207,47.75418,11.55608
16003502,47.76144,11.55646
16004006,47.77903,11.54002
16004403,47.91616,11.44614
16005701,48.14536,11.59679
16005703,48.14597,11.59658
16006500,48.39816,11.75222
16006613,48.46547,11.94615
16007004,48.52759,12.13342
16007106,48.5459,12.13665
16008007,48.6752,12.69266
16008506,48.77092,12.88354
16124950,47.42727,11.25307
16145008,47.51804,11.4423
16163000,47.55335,11.53925
16166008,47.58255,11.60667
16312008,47.5876,11.54097
16323004,47.6052,11.334
16326002,47.61152,11.50285
16327504,47.60738,11.37114
16331955,47.65603,11.58924
16336055,47.69954,11.57073
16336555,47.70781,11.55128
16336556,47.70781,11.55128
16345007,47.73955,11.5762
16391004,47.76124,11.57108
16395005,47.8361,11.53639
16401006,47.48341,11.0632
16402009,47.50228,11.08822
16403001,47.53082,11.11696
16404106,47.59752,11.18687
16404900,47.66749,11.32492
16405801,47.63418,11.33898
16407002,47.66576,11.36297
16408130,47.7716,11.4019
16408504,47.83522,11.41495
16412002,47.47719,10.94041
16417055,47.46515,11.04504
16423555,47.46298,11.124
16423556,47.46298,11.124
16425003,47.47989,11.11491
16425300,47.48666,11.10876
16427108,47.48702,11.17242
16427205,47.48706,11.16838
16427305,47.48459,11.12996
16427513,47.48478,11.12639
16427702,47.4825,11.11629
16427703,47.4825,11.11629
16427955,47.49208,11.10912
16432000,47.52377,11.09616
16436055,47.59671,11.1906
16438055,47.65771,11.20788
16455005,47.72887,11.30376
16455155,47.69761,11.41658
16455157,47.69761,11.41658
16475505,47.77146,11.40157
16495000,47.83356,11.41593
16515005,48.14672,11.59086
16516008,48.15116,11.5873
16518502,48.4081,11.77812
16518504,48.40818,11.77906
16518808,48.40511,11.76227
16525355,48.26305,11.83938
16527503,48.31828,11.82044
16602008,48.07641,11.13088
16602303,48.0791,11.12924
16602800,48.1228,11.15548
16603000,48.12261,11.15726
16605006,48.17705,11.26139
16606009,48.29715,11.49191
16607001,48.46068,11.86547
16609007,48.46618,11.91321
16609109,48.48173,11.92812
16610709,47.59459,11.06414
16612001,47.77827,11.05736
16613004,47.84714,11.135
16615203,47.64439,10.96588
16616002,47.69278,11.12196
16617005,47.68676,11.18079
16618008,47.76778,11.12317
16619000,47.69779,11.2329
16625003,47.92361,11.11098
16627009,47.99823,11.17924
16642002,47.98228,11.00284
16642501,48.00316,11.01113
16644050,48.00308,11.01514
16645000,48.02697,11.0109
16645001,48.02697,11.0109
16646400,48.0785,11.11451
16647458,47.9878,11.00592
16651003,48.05118,11.16165
16653055,48.15229,11.29794
16655004,48.23349,11.43695
16658002,48.2519,11.36473
16663002,47.9973,11.34922
16665008,48.0292,11.3631
16666000,48.16721,11.45886
16667604,47.81924,11.32177
16668403,47.91467,11.28636
16668800,48.00027,11.34672
16669009,47.99779,11.36097
16683010,48.31663,11.2052
16683255,48.36758,11.27619
16683507,48.35864,11.37291
16686008,48.42658,11.5261
16802007,48.25301,11.8981
16803503,48.30301,11.9059
16804005,48.30668,11.91029
16805005,48.32945,11.92293
16806008,48.3293,11.91603
16824955,48.35725,11.98944
16825002,48.41299,11.98242
16827008,48.27136,11.97228
16899009,48.50403,12.10078
16924707,48.55357,12.11102
16964995,48.73573,12.74343
16965001,48.73686,12.74482
17125006,48.79833,13.09286
17131055,48.69532,12.88014
17201501,48.52744,12.47229
17203507,48.56961,12.59051
17203802,48.57276,12.61303
17204204,48.60626,12.69382
17206006,48.63039,12.92208
17207508,48.61085,13.14568
17215007,48.45322,12.36562
17224155,48.4837,12.25068
17225000,48.49583,12.34402
17242000,48.52689,12.7312
17245507,48.6105,12.95633
17245609,48.61034,12.9568
17325005,48.58533,13.19671
17345002,48.62844,13.37319
17404000,48.73135,13.43914
17406005,48.68875,13.45186
17413000,48.93805,13.41249
17415006,48.8368,13.35376
17418004,48.95592,13.42659
17425000,48.81891,13.35381
17445007,48.85695,13.38737
17464001,48.71864,13.46805
17466007,48.84881,13.5423
17467000,48.8246,13.56555
17468002,48.72726,13.52314
18000200,47.25643,11.37763
18000221,47.38912,11.78918
18000301,47.52271,12.09332
18000403,47.64404,12.19641
18001508,47.85409,12.1435
18002001,47.86131,12.13536
18003004,48.05931,12.23425
18004007,48.18802,12.42217
18004506,48.23912,12.52861
18005000,48.25522,12.72984
18005019,48.25556,12.72957
18005702,48.24484,13.00809
18007209,48.45577,13.42808
18007800,48.55367,13.43849
18008008,48.56147,13.44414
18009000,48.57334,13.46524
18009002,48.57334,13.46524
18182005,47.61388,12.15651
18193001,47.65843,12.15405
18194503,47.70693,12.17029
18196000,47.74627,12.18164
18197501,47.88743,12.24547
18199008,47.85012,12.18709
18201008,47.72376,11.74627
18202000,47.77344,11.76847
18202001,47.77343,11.76847
18203003,47.89526,11.78347
18204006,47.89267,11.85241
18205985,47.85797,11.99402
18209000,47.84477,12.1254
18212004,47.67526,11.7669
18213506,47.62376,11.72032
18214000,47.6274,11.75006
18216005,47.69195,11.7739
18218000,47.70759,11.72078
18218306,47.70507,11.73613
18222008,47.73106,11.86813
18226009,47.78917,11.82916
18242005,47.70921,11.9338
18246006,47.88677,11.82907
18261000,47.99201,11.86165
18262002,47.92246,11.9907
18263005,47.86062,12.01062
18269001,47.85659,12.00461
18269055,47.85659,12.00461
18284504,47.78532,12.00313
18284606,47.77808,12.0086
18285507,47.83545,12.08974
18286000,47.79693,11.9727
18312009,47.85026,12.12107
18312010,47.85006,12.12055
18322002,47.98014,12.21215
18343002,47.99304,12.01048
18346000,48.02387,12.14789
18381500,48.24207,12.03644
18382004,48.27398,12.15457
18382505,48.27753,12.28102
18382705,48.25965,12.42837
18384509,48.28093,12.61261
18387008,48.22972,12.13783
18400503,47.86124,12.36571
18403002,47.93442,12.48021
18405008,48.00344,12.53166
18407003,48.02711,12.55533
18408200,48.17148,12.731
18409009,48.0274,12.55495
18409508,48.1552,12.68186
18424501,47.45466,12.38788
18431008,47.51891,12.41697
18451504,47.66253,12.41546
18454003,47.78141,12.4756
18458503,47.66593,12.49784
18459007,47.72803,12.3969
18460403,47.82097,12.48106
18461257,47.81819,12.38355
18462205,47.78062,12.32373
18463004,47.85537,12.34094
18465000,47.84046,12.35024
18465600,47.81038,12.57294
18466002,47.84589,12.5161
18472005,47.97535,12.44767
18481006,47.83315,12.64605
18482009,47.87021,12.65463
18483500,47.99122,12.54242
18484503,47.72918,12.66379
18486000,47.82558,12.64531
18486509,47.68699,12.56872
18487501,47.82909,12.64944
18601006,47.59639,13.16413
18601400,47.79889,13.05497
18601505,47.8156,13.03474
18602009,47.93965,12.93279
18604055,48.06671,12.7703
18606000,48.15864,12.83434
18619001,47.58445,13.18275
18620500,47.64578,13.03226
18622006,47.61406,12.95316
18624003,47.64058,12.97069
18624806,47.58719,12.99019
18625004,47.61637,12.99695
18640802,47.52278,12.74998
18642003,47.68118,12.82282
18643006,47.74733,12.90019
18643505,47.81779,12.97861
18645001,47.69323,12.80154
18646809,47.76519,12.91339
18662000,47.8528,12.83059
18662500,47.88405,12.82497
18663003,47.89009,12.83804
18666001,47.84717,12.94597
18668007,47.84328,12.78532
18669000,47.82591,12.90809
18682507,47.93113,12.77793
18683000,47.91751,12.82791
18687001,47.93583,12.73256
18687500,47.93446,12.75571
18715055,48.29213,12.98305
18719006,48.26767,13.02889
18801005,48.36915,12.5269
18803805,48.41189,12.83231
18804309,48.42153,12.89956
18804706,48.42028,12.90465
18806406,48.43585,13.07264
18808004,48.42822,13.33391
18825003,48.43268,12.57043
18835007,48.42075,12.72846
18837002,48.40615,12.75507
18838005,48.40524,12.75661
18855004,48.42235,12.90144
18859005,48.39666,13.00529
19141055,48.72143,13.57616
19145208,48.57738,13.57969
19168000,48.57209,13.74474
20001001,47.54458,9.68495
21491355,47.56484,9.92314
21513155,47.57321,9.84468
21514600,47.53711,9.73617
21516505,47.55725,9.69923
21627008,47.54266,10.0156
21642755,47.61359,9.97584
21643004,47.64909,9.97036
21645000,47.64556,10.0849
24003009,50.09944,11.37271
24006007,50.16487,11.15134
24008002,50.15183,11.05825
24010004,49.95116,10.87348
24012203,49.9297,10.75521
24012204,49.92954,10.75505
24022003,50.03118,10.22075
24022004,50.03118,10.22075
24028000,49.85841,10.21766
24042000,49.7961,9.9258
24042001,49.7961,9.92578
24050009,50.00996,9.60374
24050010,50.00996,9.60372
24056005,49.76095,9.5183
24060002,49.78494,9.43858
24062201,49.74239,9.32231
24064003,49.71647,9.22463
24070006,49.9338,9.12907
24075000,50.01536,9.03372
24075001,50.01531,9.03369
24080000,50.07981,8.95277
24088001,50.10574,8.71498
24110508,50.03847,11.67467
24110955,50.09419,11.52526
24112155,50.11335,11.45897
24113459,50.0436,11.67015
24113506,50.02538,11.64288
24114000,50.06504,11.55185
24115002,50.10762,11.60921
24116005,50.12718,11.52514
24117008,50.11812,11.50645
24118000,50.11994,11.61509
24118355,50.1986,11.61604
24118500,50.18031,11.52407
24118703,50.1327,11.52609
24121005,49.84645,11.623
24122008,49.90665,11.62091
24123000,49.94909,11.56615
24125006,50.07537,11.42632
24126009,49.89734,11.66179
24127001,49.87095,11.69447
24128004,49.96956,11.68333
24134007,50.0905,11.2382
24140509,50.35217,11.51073
24141206,50.31794,11.48574
24141501,50.27817,11.43062
24142855,50.1981,11.29797
24143008,50.18154,11.22653
24143507,50.32473,11.51831
24143700,50.32493,11.48661
24143802,50.32191,11.48874
24143857,50.3218,11.48894
24144500,50.36358,11.49208
24145003,50.36297,11.48362
24145502,50.26827,11.54142
24145808,50.27103,11.46171
24146505,50.32176,11.28464
24147600,50.36872,11.30676
24148001,50.29201,11.36769
24148500,50.32543,11.36067
24148655,50.37781,11.37631
24149150,50.43042,11.15885
24149208,50.27731,11.15938
24160506,50.37012,11.00824
24160801,50.34931,11.02763
24160903,50.34726,11.02805
24162206,50.24917,10.96209
24163005,50.1294,10.87123
24164008,50.3701,11.01228
24164303,50.3694,11.04467
24165102,50.29664,11.05166
24165204,50.34964,10.96316
24165302,50.31805,10.97266
24165306,50.31466,10.97317
24165805,50.29792,10.92433
24165900,50.27833,10.94263
24165907,50.27689,10.94435
24167006,50.17745,10.84212
24168009,50.23949,10.78592
24169001,50.12635,10.85516
24183002,50.14458,10.70588
24186000,50.0021,10.84345
24187502,50.14569,10.73612
24201501,49.5461,10.97364
24208806,49.83275,10.94896
24209300,49.88198,10.90683
24210309,49.25023,11.08419
24210706,49.35394,11.05251
24211200,49.43608,10.99117
24211414,49.4043,10.46525
24211505,49.36737,10.49228
24211651,49.30459,10.56563
24212450,49.1954,10.88735
24213101,49.30959,10.57326
24213602,49.02987,10.95496
24213806,49.12056,11.00385
24214004,49.1534,11.01289
24214300,49.0493,10.98197
24214445,49.13898,10.89409
24214456,49.13733,10.89489
24214489,49.12723,10.96558
24214900,49.24783,11.09396
24215302,49.21162,11.18384
24215404,49.21302,11.17929
24215903,49.2412,11.05347
24217005,49.30803,11.5013
24217012,49.34003,11.40228
24217055,49.38298,11.45413
24217104,49.36882,11.37761
24217400,49.35518,11.14119
24217603,49.32968,11.02159
24218504,49.39393,10.73396
24218800,49.42653,10.89557
24219008,49.36698,10.70661
24220506,49.70637,11.55862
24222002,49.60559,11.50496
24223005,49.52589,11.4914
24224008,49.50627,11.27288
24225000,49.45582,11.05254
24225408,49.76442,11.54626
24227006,49.49938,11.52587
24228009,49.55823,11.34304
24228905,49.4817,11.23887
24230500,49.48252,10.88753
24231309,49.45249,10.60745
24232006,49.49341,10.75411
24232301,49.50764,10.90213
24235208,49.52045,11.08951
24236007,49.54463,10.70995
24237005,49.56772,10.88082
24237509,49.56733,10.96384
24238002,49.59682,11.21504
24238501,49.60168,11.02015
24240503,49.93518,11.29059
24241710,49.77834,11.3323
24242000,49.80316,11.25836
24244504,49.87914,11.33504
24246000,49.77305,11.40186
24248403,49.82438,11.1914
24249009,49.69431,11.27163
24260500,49.48487,10.39179
24261106,49.57324,10.56757
24262007,49.62133,10.67198
24262555,49.69431,10.77836
24263000,49.72596,10.93238
24263203,49.75917,10.98403
24268535,49.66042,10.46591
24269055,49.61898,10.62171
24292507,49.79998,10.9264
24292802,49.73112,10.59123
24293497,49.85529,10.68973
24295505,49.82251,10.84172
24322506,50.07611,10.51855
24336806,49.908,10.39687
24338007,49.90846,10.29875
24345206,49.81605,10.2925
24349003,49.79198,10.27522
24369000,49.66244,10.15485
24374805,49.79937,9.94839
24381503,49.98129,10.1205
24382304,49.97547,9.96276
24385007,50.02728,9.74922
24401001,50.29606,10.46886
24403007,50.31027,10.19301
24405002,50.19739,10.07443
24406005,50.18063,10.07305
24409003,50.08746,9.73533
24412008,50.35626,10.4234
24421009,50.47797,10.18294
24422001,50.37078,10.25895
24424007,50.4742,10.252
24429000,50.38214,10.2276
24431002,50.39925,10.04494
24432504,50.34931,10.156
24441006,50.21364,10.23751
24441301,50.25216,10.19653
24444001,50.15085,10.38164
24456003,50.34409,9.97908
24460306,50.1966,9.95961
24461003,50.21993,9.96686
24473055,50.13141,9.72842
24481000,50.30777,9.78896
24481500,50.29961,9.74371
24482003,50.20071,9.61654
24483006,50.07408,9.6872
24486106,50.23682,9.59889
24521105,50.06099,9.47533
24522006,50.02517,9.54042
24562000,49.86958,9.59673
24585006,49.77475,9.65345
24601000,49.32558,10.19325
24601703,49.45382,10.07048
24603006,49.49842,9.7679
24607506,49.62588,9.66574
24623003,49.51336,10.01972
24713004,49.61722,9.44952
24719102,49.71068,9.27153
24722005,49.68039,9.21823
24726555,49.64398,9.23193
